order_id,customer_name,email,order_date,product_name,category,quantity,price,city,payment_method,delivery_status,total_amount
15.0, Kashif Malik ,.kashif.malik.@gmail.com,06/08/2024,Smart Watch,Applinces,-1.0,0,Faisalabad,Bank Transfer,Pending,0.0
,AYESHA BUTT,ayesha.butt@gmailcom,2023-03-16,Washing Machine,Applinces,1.0,141937,islmabad,Bank Transfer,Pending,141937.0
17.0,AHMED BUTT,ahmed.butt@hotmail.com,2024-10-31,Microwave,,1.0,70328,Karachi,,pendng,70328.0
18.0,Hassan Chaudhry,hassan.chaudhry@yahoo.com,,Smart TV,Electronics,,abc,Lahore,Cash,Cancelled,
19.0,Hassan Raza,hassan.raza@gmailcom,2023-04-25,MacBook Air,Accessories,,abc,Islamabad,Cash,Cancelled,
20.0, ALI SHEIKH ,.ali.sheikh.@gmial.com,21/02/2024,HP Laptop,Appliances,4.0,0,Faisalabad,cash ,,0.0
,fatima chaudhry,fatima.chaudhry@gmail.com,16/08/2023,Washing Machine,Appliances,2.0,abc,Faisalabad,Bank Transfer,Delivered,
22.0,ayesha saeed,ayesha.saeed@gmail.com,25/09/2023,Smart Watch,Accessories,1.0,abc,Faisalabad,cash ,pendng,
, Ahmed Qureshi ,.ahmed.qureshi.@gmail.com,02/01/2023,Airpods Pro,,,0,Karachi,,Cancelled,
,hassan qureshi,hassan.qureshi@yahoo.com,24/01/2024,Smart Watch,eletronics,5.0,abc,Sargodha,cash ,pendng,
,Ayesha Mirza,ayesha.mirza@gmial.com,2023-06-23,Smart TV,,-1.0,25480,Multan,Card,Pending,-25480.0
26.0,ALI KHAN,ali.khan@gmail.com,06/10/2024,Bluetooth Speaker,Appliances,,2453,lahor,Card,Pending,
,HINA MIRZA,hina.mirza@gmailcom,04-20-2024,Washing Machine,,-1.0,abc,Islamabad,,delievered,
28.0, Hassan Butt ,.hassan.butt.@gmial.com,09-02-2023,Wshing Mchine,Accessories,-1.0,abc,islmabad,Cash,Pending,
29.0,Fatima Qureshi,fatima.qureshi@gmail.com,,Bluet00th Speker,eletronics,,0,lahor,cash ,Delivered,
30.0,Hassan Qureshi,hassan.qureshi@gmailcom,13/07/2024,Washing Machine,eletronics,4.0,abc,lahor,,Pending,
31.0,Sara Zafar,sara.zafar@gmial.com,2023-01-28,Bluet00th Speker,eletronics,2.0,abc,Faisalabad,Card,delievered,
32.0,ayesha qureshi,ayesha.qureshi@gmail.com,2024-07-06,Airpods Pro,Electronics,1.0,65823,Lahore,CARD,Pending,65823.0
33.0,Sara Mirza,sara.mirza@yahoo.com,09-20-2023,MacBook Air,,1.0,82536,,Cash,Cancelled,82536.0
, Bilal Qureshi ,.bilal.qureshi.@gmial.com,04/10/2024,Samsung Galaxy S22,Accessories,5.0,149355,Faisalabad,CARD,delievered,746775.0
,Ayesha Malik,ayesha.malik@gmailcom,,Airpods Pro,eletronics,-1.0,0,islmabad,,Cancelled,0.0
,Hina Mirza,hina.mirza@gmial.com,2023-09-09,Smart TV,Appliances,,abc,Lahore,cash ,Cancelled,
37.0, USMAN BUTT ,.usman.butt.@gmial.com,2023-10-10,Microwave,Electronics,,abc,islmabad,Card,,
38.0, Usman Mirza ,.usman.mirza.@yahoo.com,09-07-2023,Smart Watch,Applinces,-1.0,0,islmabad,Bank Transfer,Cancelled,0.0
,USMAN CHAUDHRY,usman.chaudhry@hotmail.com,02/07/2024,HP Laptop,eletronics,,0,Multan,Cash,Pending,
40.0,FATIMA SHEIKH,fatima.sheikh,02-25-2023,MacBook Air,eletronics,1.0,abc,karacchi,cash ,Cancelled,
41.0,Ali Chaudhry,ali.chaudhry@gmail.com,2023-03-17,McB00k Air,Applinces,3.0,66061,islmabad,cash ,pendng,198183.0
,Kashif Butt,kashif.butt@gmailcom,,Smart TV,Electronics,,27013,Sargodha,Bank Transfer,,
43.0, SARA BUTT ,.sara.butt.@gmailcom,04-26-2024,iPhone 14 Pro,,,120021,Sargodha,Bank Transfer,,
, FATIMA QURESHI ,.fatima.qureshi.@hotmail.com,2023-03-15,MacBook Air,Applinces,-1.0,116121,karacchi,,Cancelled,-116121.0
,Bilal Chaudhry,bilal.chaudhry@gmail.com,03-18-2024,Smart Watch,Electronics,,0,Multan,CARD,Delivered,
46.0,Usman Saeed,usman.saeed@yahoo.com,,Samsung Galaxy S22,eletronics,-1.0,28420,Faisalabad,cash ,,-28420.0
47.0,Hassan Qureshi,hassan.qureshi@gmailcom,09-16-2023,Samsung Galaxy S22,eletronics,5.0,abc,lahor,Cash,Pending,
,Ayesha Zafar,ayesha.zafar@gmail.com,16/07/2024,Smart TV,,4.0,0,,Card,,0.0
49.0, HASSAN SAEED ,.hassan.saeed.@gmail.com,01/05/2023,Washing Machine,Accessories,,abc,karacchi,cash ,Pending,
50.0,hina raza,hina.raza@yahoo.com,,Airpods Pro,Applinces,3.0,0,Multan,CARD,pendng,0.0
,Usman Raza,usman.raza@hotmail.com,,Washing Machine,Appliances,,101393,lahor,Cash,Cancelled,
,usman qureshi,usman.qureshi@yahoo.com,07/02/2023,Microwave,Accessories,-1.0,0,karacchi,Cash,,0.0
53.0, bilal raza ,.bilal.raza.@gmial.com,2024-10-27,Airpods Pro,Applinces,-1.0,0,Lahore,CARD,Delivered,0.0
54.0,Hassan Butt,hassan.butt@gmail.com,2024-12-21,Washing Machine,Accessories,1.0,86032,Multan,Bank Transfer,Cancelled,86032.0
55.0,Sara Butt,sara.butt@yahoo.com,,Smart Watch,eletronics,5.0,abc,Multan,cash ,Cancelled,
,Ali Mirza,ali.mirza@yahoo.com,12-20-2023,Bluetooth Speaker,eletronics,3.0,abc,Karachi,Card,delievered,
, ayesha zafar ,.ayesha.zafar.@gmailcom,2024-08-02,Smart Watch,Accessories,,93358,Sargodha,CARD,Cancelled,
,Sara Malik,sara.malik@hotmail.com,02-04-2023,McB00k Air,Accessories,,109921,Sargodha,Card,pendng,
59.0,Hina Saeed,hina.saeed@hotmail.com,05-08-2024,Airpods Pro,eletronics,1.0,0,lahor,CARD,Cancelled,0.0
60.0,BILAL KHAN,bilal.khan@hotmail.com,10-15-2024,Samsung Galaxy S22,eletronics,,abc,,Card,,
61.0, Usman Chaudhry ,.usman.chaudhry.@gmail.com,,Smsung Glxy S22,Applinces,-1.0,abc,islmabad,cash ,pendng,
,Sara Qureshi,sara.qureshi@gmial.com,2023-10-14,Airpods Pro,eletronics,-1.0,0,Faisalabad,CARD,,0.0
63.0,ali qureshi,ali.qureshi@gmailcom,2023-08-06,iPhone 14 Pro,Appliances,,54793,islmabad,Card,pendng,
64.0,Fatima Sheikh,fatima.sheikh,29/05/2023,Microwave,Appliances,,7758,Lahore,Bank Transfer,Pending,
,AYESHA KHAN,ayesha.khan@gmial.com,,Washing Machine,Applinces,5.0,0,Sargodha,CARD,Delivered,0.0
,Hina Chaudhry,hina.chaudhry@gmail.com,,Samsung Galaxy S22,eletronics,1.0,0,Islamabad,Cash,Pending,0.0
67.0,Kashif Zafar,kashif.zafar@gmial.com,,Samsung Galaxy S22,Electronics,,abc,karacchi,Card,delievered,
68.0, Usman Qureshi ,.usman.qureshi.@gmailcom,09-19-2023,MacBook Air,eletronics,1.0,23377,lahor,Cash,,23377.0
,Ayesha Raza,ayesha.raza@gmial.com,2024-11-17,Bluetooth Speaker,,,abc,,Bank Transfer,Cancelled,
70.0, kashif saeed ,.kashif.saeed.@gmail.com,07-23-2024,Samsung Galaxy S22,Applinces,-1.0,0,,,,0.0
,Ali Zafar,ali.zafar,10-07-2023,Airpods Pro,Appliances,,106063,Islamabad,,,
72.0,AHMED SAEED,ahmed.saeed@hotmail.com,2023-11-29,iPhone 14 Pro,Applinces,,abc,karacchi,,delievered,
73.0, Kashif Mirza ,.kashif.mirza.@gmial.com,2024-03-16,Smart TV,Applinces,,81850,Sargodha,cash ,pendng,
74.0, ALI BUTT ,.ali.butt.@hotmail.com,2023-05-03,Washing Machine,Appliances,-1.0,0,Sargodha,CARD,pendng,0.0
,ayesha malik,ayesha.malik@gmailcom,,Smart Watch,,-1.0,abc,Lahore,Bank Transfer,Pending,
, usman sheikh ,.usman.sheikh.@gmial.com,,Smart TV,Appliances,3.0,0,Karachi,CARD,pendng,0.0
77.0,Ayesha Sheikh,ayesha.sheikh@yahoo.com,05-30-2023,HP Laptop,Appliances,1.0,abc,,CARD,delievered,
,kashif zafar,kashif.zafar@gmailcom,03-28-2024,Smart TV,Accessories,5.0,abc,karacchi,Cash,Delivered,
79.0,Hassan Malik,hassan.malik@gmail.com,,Washing Machine,,-1.0,abc,,cash ,pendng,
80.0,ali mirza,ali.mirza@gmail.com,2023-06-26,HP Laptop,eletronics,,abc,Faisalabad,Bank Transfer,delievered,
81.0,ayesha zafar,ayesha.zafar@hotmail.com,,Smart TV,,5.0,88388,,,Pending,441940.0
82.0, hassan qureshi ,.hassan.qureshi.@gmial.com,03/12/2023,Micr0wve,,,95851,Faisalabad,Bank Transfer,Pending,
83.0, ayesha mirza ,.ayesha.mirza.@hotmail.com,2023-04-14,Airpods Pro,Applinces,,99754,Islamabad,Card,,
,SARA MIRZA,sara.mirza@gmailcom,04/04/2024,Microwave,eletronics,-1.0,abc,Multan,cash ,pendng,
,Bilal Raza,bilal.raza@yahoo.com,,Airpods Pro,Electronics,5.0,75727,Islamabad,Bank Transfer,delievered,378635.0
,sara qureshi,sara.qureshi@hotmail.com,2024-02-29,Bluetooth Speaker,Appliances,4.0,99281,Lahore,Bank Transfer,Delivered,397124.0
,AYESHA RAZA,ayesha.raza@yahoo.com,,Smrt Wtch,Electronics,-1.0,57532,islmabad,,pendng,-57532.0
, Bilal Malik ,.bilal.malik.,,Smsung Glxy S22,eletronics,,0,islmabad,CARD,Pending,
,Sara Chaudhry,sara.chaudhry@yahoo.com,2023-07-11,Microwave,Electronics,,0,islmabad,Cash,delievered,
90.0, Ali Qureshi ,.ali.qureshi.@gmail.com,03-11-2023,HP Laptop,,,88167,Lahore,Bank Transfer,pendng,
91.0,Sara Mirza,sara.mirza@yahoo.com,,iPhone 14 Pro,Electronics,2.0,abc,islmabad,cash ,pendng,
92.0, Hassan Khan ,.hassan.khan.@hotmail.com,02-18-2023,Smrt TV,Accessories,-1.0,abc,Faisalabad,Card,delievered,
,Usman Sheikh,usman.sheikh@gmail.com,,Smart Watch,Appliances,-1.0,85203,Karachi,Bank Transfer,,-85203.0
94.0,Hassan Mirza,hassan.mirza@gmailcom,02-13-2023,Smart Watch,Accessories,1.0,abc,islmabad,,,
95.0,Ali Raza,ali.raza,10/03/2023,Airpods Pro,Applinces,,0,karacchi,Bank Transfer,Cancelled,
96.0,AHMED ZAFAR,ahmed.zafar@hotmail.com,2023-04-27,MacBook Air,eletronics,5.0,abc,karacchi,Card,pendng,
97.0,usman butt,usman.butt@gmailcom,11-29-2024,Airpods Pro,Applinces,-1.0,79631,Islamabad,Bank Transfer,pendng,-79631.0
98.0, Ahmed Butt ,.ahmed.butt.,07-21-2024,Washing Machine,Applinces,,23600,Multan,cash ,,
,Usman Saeed,usman.saeed@gmial.com,2023-11-21,Washing Machine,Applinces,3.0,0,,Card,Pending,0.0
100.0,Hina Khan,hina.khan@hotmail.com,27/11/2023,Airpods Pro,Applinces,3.0,66694,islmabad,Bank Transfer,Pending,200082.0
,Hassan Zafar,hassan.zafar@yahoo.com,17/08/2024,MacBook Air,,-1.0,148749,Lahore,Cash,Delivered,-148749.0
,Kashif Chaudhry,kashif.chaudhry@gmailcom,,Microwave,Accessories,4.0,abc,karacchi,Cash,,
103.0,Sara Mirza,sara.mirza@hotmail.com,11-17-2023,Airpods Pro,Appliances,,148233,Faisalabad,Card,delievered,
104.0, HASSAN MIRZA ,.hassan.mirza.@gmailcom,04/03/2024,MacBook Air,Applinces,3.0,abc,islmabad,cash ,delievered,
105.0,USMAN KHAN,usman.khan@yahoo.com,2023-12-28,iPhone 14 Pro,Applinces,-1.0,141690,Karachi,cash ,Pending,-141690.0
106.0,AYESHA QURESHI,ayesha.qureshi@yahoo.com,2023-10-23,Bluetooth Speaker,Applinces,,32145,Karachi,cash ,Cancelled,
107.0, Hina Sheikh ,.hina.sheikh.@gmial.com,2023-02-11,iPh0ne 14 Pr0,Accessories,,120796,,CARD,Pending,
108.0,kashif sheikh,kashif.sheikh@hotmail.com,,Smart Watch,Electronics,-1.0,abc,,Bank Transfer,,
,Ali Zafar,ali.zafar@gmial.com,,MacBook Air,,-1.0,0,Sargodha,Cash,pendng,0.0
, AHMED BUTT ,.ahmed.butt.@yahoo.com,,iPhone 14 Pro,Applinces,,0,karacchi,CARD,delievered,
111.0,Sara Mirza,sara.mirza@hotmail.com,11-28-2024,Smart Watch,Appliances,,79249,Multan,Bank Transfer,,
112.0,Usman Sheikh,usman.sheikh@hotmail.com,,Bluetooth Speaker,Appliances,3.0,0,Karachi,Bank Transfer,delievered,0.0
, hassan mirza ,.hassan.mirza.@gmial.com,2023-05-21,Smart Watch,Appliances,2.0,140209,Sargodha,Cash,Delivered,280418.0
114.0, ayesha mirza ,.ayesha.mirza.@gmial.com,,Washing Machine,Appliances,-1.0,0,Lahore,Cash,,0.0
,Fatima Saeed,fatima.saeed@gmail.com,,MacBook Air,Electronics,-1.0,0,Multan,Cash,Delivered,0.0
116.0, kashif zafar ,.kashif.zafar.@gmial.com,,Smart TV,Electronics,3.0,0,Multan,,Pending,0.0
117.0,Ayesha Chaudhry,ayesha.chaudhry@yahoo.com,,Bluetooth Speaker,Electronics,,26004,Islamabad,cash ,Cancelled,
118.0, ALI CHAUDHRY ,.ali.chaudhry.@hotmail.com,2024-08-09,Smart TV,,2.0,abc,Multan,Card,delievered,
,Hina Chaudhry,hina.chaudhry@hotmail.com,15/08/2023,MacBook Air,eletronics,-1.0,0,islmabad,cash ,pendng,0.0
,Fatima Butt,fatima.butt@gmail.com,06-24-2024,Samsung Galaxy S22,Electronics,,133510,,CARD,Pending,
121.0,Ayesha Saeed,ayesha.saeed@gmial.com,,iPhone 14 Pro,Applinces,-1.0,148825,islmabad,cash ,,-148825.0
122.0, ALI QURESHI ,.ali.qureshi.,2023-12-19,Microwave,Electronics,4.0,abc,Islamabad,Card,,
,Bilal Sheikh,bilal.sheikh@gmailcom,30/11/2024,Airp0ds Pr0,Applinces,,0,Sargodha,Cash,Delivered,
124.0,Usman Saeed,usman.saeed@yahoo.com,21/12/2023,Smart TV,,1.0,0,Lahore,Card,Pending,0.0
125.0,ahmed zafar,ahmed.zafar@gmail.com,,Washing Machine,Appliances,1.0,abc,Sargodha,,pendng,
126.0,Kashif Zafar,kashif.zafar@yahoo.com,27/05/2023,Bluetooth Speaker,Electronics,,0,lahor,CARD,delievered,
127.0,Ayesha Qureshi,ayesha.qureshi@gmailcom,,MacBook Air,eletronics,2.0,0,Islamabad,cash ,Delivered,0.0
, Bilal Qureshi ,.bilal.qureshi.@yahoo.com,2023-12-05,Washing Machine,Electronics,,50933,Multan,cash ,,
, Kashif Khan ,.kashif.khan.@gmial.com,26/07/2024,Washing Machine,Accessories,3.0,56524,Karachi,,delievered,169572.0
130.0,KASHIF BUTT,kashif.butt@hotmail.com,06-30-2024,Smart TV,Applinces,-1.0,0,karacchi,Bank Transfer,Pending,0.0
131.0,ayesha qureshi,ayesha.qureshi@gmail.com,,Smart TV,Accessories,-1.0,abc,islmabad,,,
132.0,Hassan Mirza,hassan.mirza@gmailcom,27/12/2023,MacBook Air,eletronics,,0,Lahore,Cash,,
133.0, ali qureshi ,.ali.qureshi.,,Airp0ds Pr0,,-1.0,128888,Lahore,CARD,pendng,-128888.0
134.0, Ali Khan ,.ali.khan.,,McB00k Air,Electronics,5.0,64168,,CARD,Cancelled,320840.0
135.0,hassan qureshi,hassan.qureshi@yahoo.com,08-20-2023,Samsung Galaxy S22,,1.0,abc,lahor,CARD,delievered,
136.0,ali raza,ali.raza@hotmail.com,2023-04-08,HP Laptop,,-1.0,72065,Karachi,,Cancelled,-72065.0
, kashif khan ,.kashif.khan.@yahoo.com,,Samsung Galaxy S22,Applinces,,0,islmabad,Bank Transfer,delievered,
,Sara Malik,sara.malik@gmail.com,2023-08-26,Airpods Pro,Applinces,-1.0,86557,Multan,cash ,delievered,-86557.0
139.0,Ayesha Saeed,ayesha.saeed@gmial.com,03-29-2023,HP Laptop,Electronics,3.0,0,Islamabad,,delievered,0.0
140.0,ayesha malik,ayesha.malik@hotmail.com,31/03/2023,Bluetooth Speaker,Applinces,-1.0,28077,Karachi,Bank Transfer,pendng,-28077.0
141.0,Kashif Zafar,kashif.zafar@gmail.com,2024-02-02,Microwave,Appliances,,0,lahor,Card,Pending,
142.0, Hassan Chaudhry ,.hassan.chaudhry.@gmailcom,,Samsung Galaxy S22,Appliances,,abc,Karachi,Card,Cancelled,
143.0,Bilal Sheikh,bilal.sheikh@hotmail.com,16/03/2024,Smart TV,,-1.0,83361,lahor,Bank Transfer,Cancelled,-83361.0
,Usman Zafar,usman.zafar@hotmail.com,02-07-2024,Samsung Galaxy S22,Appliances,,0,islmabad,Cash,,
145.0,Fatima Mirza,fatima.mirza@gmail.com,,MacBook Air,Appliances,,0,lahor,cash ,Delivered,
146.0,Kashif Mirza,kashif.mirza@gmailcom,2024-01-04,Samsung Galaxy S22,,3.0,0,lahor,Bank Transfer,delievered,0.0
147.0,ali malik,ali.malik@gmial.com,,Airpods Pro,,,132194,Faisalabad,Cash,delievered,
148.0, Hassan Qureshi ,.hassan.qureshi.@yahoo.com,,HP Laptop,Accessories,4.0,0,karacchi,Bank Transfer,Delivered,0.0
149.0, ALI MALIK ,.ali.malik.@yahoo.com,07/09/2023,Microwave,Applinces,-1.0,abc,Islamabad,Card,,
, bilal qureshi ,.bilal.qureshi.@gmial.com,05/01/2023,HP Laptop,,,0,Islamabad,Bank Transfer,Cancelled,
151.0,usman malik,usman.malik@hotmail.com,,Smrt Wtch,Accessories,,0,Multan,CARD,pendng,
152.0, SARA SHEIKH ,.sara.sheikh.@yahoo.com,04/03/2024,Smart Watch,Appliances,,0,Islamabad,CARD,Pending,
153.0,hassan raza,hassan.raza@hotmail.com,11/05/2024,HP Laptop,Applinces,,abc,karacchi,cash ,,
154.0,USMAN RAZA,usman.raza,08-19-2023,MacBook Air,Applinces,,134904,,Cash,Cancelled,
, Ayesha Saeed ,.ayesha.saeed.@gmailcom,2024-03-11,HP Laptop,Electronics,-1.0,92377,karacchi,Cash,Pending,-92377.0
156.0,Kashif Sheikh,kashif.sheikh@gmailcom,23/05/2023,HP Laptop,Applinces,,0,islmabad,Card,Cancelled,
,Hassan Chaudhry,hassan.chaudhry@gmial.com,2024-11-26,MacBook Air,eletronics,-1.0,0,Islamabad,Card,Pending,0.0
,Ayesha Butt,ayesha.butt@gmailcom,10-09-2024,Bluetooth Speaker,Electronics,-1.0,0,Multan,,Cancelled,0.0
159.0,Usman Sheikh,usman.sheikh@gmail.com,04-14-2024,Samsung Galaxy S22,eletronics,-1.0,abc,Multan,Bank Transfer,Cancelled,
160.0,hina zafar,hina.zafar,,iPh0ne 14 Pr0,Appliances,-1.0,abc,Sargodha,,Pending,
,Hassan Raza,hassan.raza@gmail.com,2023-09-14,Airpods Pro,,2.0,0,Multan,,,0.0
162.0, Bilal Malik ,.bilal.malik.@gmailcom,30/08/2024,Microwave,Electronics,,91065,lahor,,Pending,
163.0, ahmed butt ,.ahmed.butt.@hotmail.com,03/11/2023,Bluetooth Speaker,Appliances,2.0,0,Lahore,CARD,,0.0
164.0,Usman Sheikh,usman.sheikh@yahoo.com,,HP Lpt0p,Electronics,2.0,abc,lahor,Bank Transfer,Pending,
165.0,hassan malik,hassan.malik@hotmail.com,2024-12-08,Smart TV,Applinces,5.0,abc,Lahore,Card,delievered,
166.0,Ahmed Butt,ahmed.butt@gmial.com,01-13-2023,Airp0ds Pr0,Applinces,-1.0,0,Islamabad,cash ,Delivered,0.0
167.0,KASHIF MALIK,kashif.malik@gmailcom,,Bluetooth Speaker,Electronics,,abc,Karachi,Bank Transfer,Delivered,
,Fatima Raza,fatima.raza@gmail.com,23/03/2024,iPhone 14 Pro,eletronics,-1.0,abc,Islamabad,Cash,Delivered,
,sara khan,sara.khan@hotmail.com,05-10-2023,Samsung Galaxy S22,Electronics,-1.0,0,Karachi,Bank Transfer,,0.0
,Ahmed Mirza,ahmed.mirza@gmailcom,06-20-2023,MacBook Air,Electronics,,31234,islmabad,Cash,Delivered,
171.0,Fatima Khan,fatima.khan@yahoo.com,,HP Laptop,eletronics,-1.0,0,Faisalabad,Cash,pendng,0.0
, ali raza ,.ali.raza.@gmailcom,04-21-2024,Smart TV,Applinces,4.0,97709,Multan,CARD,Cancelled,390836.0
,Kashif Butt,kashif.butt@gmailcom,20/07/2023,McB00k Air,eletronics,1.0,abc,Lahore,Bank Transfer,Delivered,
, bilal chaudhry ,.bilal.chaudhry.@gmailcom,05-26-2023,Smsung Glxy S22,Appliances,-1.0,abc,Karachi,CARD,Delivered,
,sara qureshi,sara.qureshi@yahoo.com,09-25-2023,Bluetooth Speaker,,-1.0,abc,Sargodha,Cash,Pending,
176.0,KASHIF MALIK,kashif.malik@gmailcom,02/01/2024,Washing Machine,Accessories,1.0,0,Multan,,,0.0
,Ali Butt,ali.butt@gmail.com,,Micr0wve,Accessories,3.0,abc,karacchi,CARD,,
,Fatima Malik,fatima.malik@yahoo.com,05/03/2023,MacBook Air,eletronics,,0,,Bank Transfer,Delivered,
179.0,Ahmed Butt,ahmed.butt@yahoo.com,2023-12-06,iPhone 14 Pro,Electronics,,0,lahor,cash ,Delivered,
180.0, bilal raza ,.bilal.raza.@gmailcom,05/02/2023,Smart TV,Applinces,4.0,abc,lahor,Card,delievered,
181.0,Hina Butt,hina.butt@gmail.com,12-31-2024,Washing Machine,eletronics,,abc,lahor,Bank Transfer,Pending,
182.0,ayesha zafar,ayesha.zafar@gmail.com,04-28-2024,Smart Watch,Appliances,1.0,abc,islmabad,,Delivered,
183.0,kashif qureshi,kashif.qureshi@yahoo.com,11-22-2023,Smrt Wtch,,,148746,,Card,delievered,
, Hassan Raza ,.hassan.raza.@yahoo.com,,iPhone 14 Pro,Applinces,2.0,0,Islamabad,Bank Transfer,Delivered,0.0
185.0, Sara Zafar ,.sara.zafar.@gmail.com,2024-01-09,Airpods Pro,,,abc,Multan,Bank Transfer,Pending,
186.0, Bilal Mirza ,.bilal.mirza.@gmial.com,09-20-2024,HP Laptop,Appliances,-1.0,78205,Islamabad,,Delivered,-78205.0
,Kashif Qureshi,kashif.qureshi,09-08-2024,Smart Watch,Applinces,-1.0,abc,Karachi,Card,Cancelled,
188.0,Sara Malik,sara.malik@hotmail.com,29/09/2023,HP Laptop,Accessories,3.0,1335,lahor,cash ,,4005.0
189.0,Sara Qureshi,sara.qureshi@gmial.com,05/05/2024,MacBook Air,Electronics,3.0,abc,Karachi,Cash,Cancelled,
190.0,Bilal Raza,bilal.raza@gmail.com,,iPhone 14 Pro,,,114823,Lahore,Cash,Cancelled,
191.0,Fatima Qureshi,fatima.qureshi@gmial.com,10-16-2023,HP Lpt0p,eletronics,,129699,Lahore,Bank Transfer,Delivered,
192.0,Ahmed Chaudhry,ahmed.chaudhry@gmailcom,27/01/2023,MacBook Air,Electronics,4.0,abc,karacchi,cash ,,
193.0,AHMED SAEED,ahmed.saeed@yahoo.com,,Washing Machine,Accessories,5.0,0,Karachi,Cash,,0.0
194.0,Hina Qureshi,hina.qureshi@gmial.com,,Microwave,eletronics,5.0,abc,Karachi,cash ,,
195.0,Hina Zafar,hina.zafar@gmial.com,04/04/2024,MacBook Air,Appliances,2.0,111985,lahor,Card,,223970.0
196.0,kashif chaudhry,kashif.chaudhry@gmail.com,02-11-2024,Smart TV,Electronics,,abc,Karachi,cash ,Pending,
197.0,Kashif Zafar,kashif.zafar@gmail.com,2024-07-30,Smart TV,Accessories,-1.0,0,karacchi,CARD,pendng,0.0
198.0,ALI RAZA,ali.raza,06/12/2023,iPhone 14 Pro,Accessories,3.0,abc,Multan,Bank Transfer,delievered,
,ahmed butt,ahmed.butt@hotmail.com,2024-03-02,HP Laptop,eletronics,,99018,islmabad,Card,Delivered,
200.0,hina qureshi,hina.qureshi@gmail.com,2023-07-25,HP Lpt0p,Electronics,,abc,Faisalabad,cash ,pendng,
201.0,AHMED KHAN,ahmed.khan@gmailcom,12-25-2023,MacBook Air,Accessories,-1.0,abc,Lahore,Card,pendng,
202.0, Fatima Butt ,.fatima.butt.@gmailcom,2024-11-29,Washing Machine,,,3218,Multan,CARD,Cancelled,
,Hassan Qureshi,hassan.qureshi@gmailcom,04-22-2024,Microwave,eletronics,5.0,0,Faisalabad,CARD,,0.0
, KASHIF CHAUDHRY ,.kashif.chaudhry.@hotmail.com,10-11-2023,Smart TV,Applinces,2.0,0,Faisalabad,,Pending,0.0
, Ali Mirza ,.ali.mirza.@gmailcom,06/02/2023,Airpods Pro,Appliances,,0,Faisalabad,CARD,Cancelled,
206.0,HINA RAZA,hina.raza@gmial.com,07-07-2023,Samsung Galaxy S22,Appliances,-1.0,abc,Multan,CARD,Cancelled,
207.0,ahmed mirza,ahmed.mirza@gmial.com,2023-07-19,Bluetooth Speaker,eletronics,1.0,37009,Faisalabad,cash ,pendng,37009.0
208.0, Sara Sheikh ,.sara.sheikh.@gmail.com,08/10/2024,Airpods Pro,Electronics,-1.0,55888,,Card,delievered,-55888.0
209.0,Sara Zafar,sara.zafar@gmailcom,2024-01-28,iPhone 14 Pro,,3.0,0,Sargodha,Cash,,0.0
210.0,Fatima Butt,fatima.butt@yahoo.com,05-30-2024,McB00k Air,Electronics,-1.0,0,islmabad,CARD,pendng,0.0
211.0,bilal raza,bilal.raza@yahoo.com,2024-02-18,HP Laptop,Appliances,,0,islmabad,Card,Delivered,
